sku,gtin,identifier,title,description,slug,price,sale_price,brand,condition,photo,gallery,product_type,quantity,weight,measure,length,width,height,google_product_category,meta_tag
336970001N,,No,336970001N HP 64MB ATI Mobility Radeon 9200 (M9+P) Graphics Controller Card for Presario X1000 & Pavilion ZT3000 Series,336970001N HP 64MB ATI Mobility Radeon 9200 (M9+P) Graphics Controller Card for Presario X1000 & Pavilion ZT3000 Series,hp-336970001n-graphic-cards,0,,HP,Refurbished,,,Audio and Video/Graphic Cards/Graphic Cards,99,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > I/O Cards & Adapters > Video Cards & Adapters,336970001N HP Graphic Cards
0H9142,,No,0H9142 Dell ATI Radeon X600 SE 128MB DDR PCI-Express DVI-I and TV-Out,0H9142 Dell ATI Radeon X600 SE 128MB DDR PCI-Express DVI-I and TV-Out,dell-0h9142-graphic-cards,2,,Dell,Refurbished,,,Audio and Video/Graphic Cards/Graphic Cards,9995,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > I/O Cards & Adapters > Video Cards & Adapters,0H9142 Dell Graphic Cards
109-A26030-01,,No,109-A26030-01 ATI Radeon X600 128MB PCI-Express Low Profile Video Graphics Card,109-A26030-01 ATI Radeon X600 128MB PCI-Express Low Profile Video Graphics Card,ati-technologies-109-a26030-01-graphic-cards,0,,ATI Technologies,Refurbished,,,Audio and Video/Graphic Cards/Graphic Cards,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > I/O Cards & Adapters > Video Cards & Adapters,109-A26030-01 ATI Technologies Graphic Cards
0K192G,,No,0K192G Dell Nvidia GeForce 9300 GE 256MB DDR2 64-Bit PCI-Express 2.0 x16 Video Graphics Card,0K192G Dell Nvidia GeForce 9300 GE 256MB DDR2 64-Bit PCI-Express 2.0 x16 Video Graphics Card,dell-0k192g-graphic-cards,0,,Dell,Refurbished,,,Audio and Video/Graphic Cards/Graphic Cards,9996,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > I/O Cards & Adapters > Video Cards & Adapters,0K192G Dell Graphic Cards
M474A2K43DB1-CTD,,No,M474A2K43DB1-CTD Samsung 16GB DDR4-2666MHz PC4-21300 ECC Unbuffered CL19 260-Pin SoDIMM 1.2V Dual Rank Memory Module,M474A2K43DB1-CTD Samsung 16GB DDR4-2666MHz PC4-21300 ECC Unbuffered CL19 260-Pin SoDIMM 1.2V Dual Rank Memory Module,samsung-m474a2k43db1-ctd-desktop-&-server-memories,217.36,,Samsung,Refurbished,,,Memory/Laptop Memory/Laptop Memory,100,0.1,lbs,0,0,0,Electronics > Electronics Accessories > Memory > RAM,M474A2K43DB1-CTD Samsung Laptop Memory
MT8HTF6464HY-667B3,,No,MT8HTF6464HY-667B3 Micron 512MB DDR2-667MHz PC2-5300 non-ECC Unbuffered CL5 200-Pin SoDIMM Single Rank Memory Module,MT8HTF6464HY-667B3 Micron 512MB DDR2-667MHz PC2-5300 non-ECC Unbuffered CL5 200-Pin SoDIMM Single Rank Memory Module,micron-technology-mt8htf6464hy-667b3-laptop-memory,60.73,,Micron Technology,Refurbished,,,Memory/Laptop Memory/Laptop Memory,100,0.1,lbs,0,0,0,Electronics > Electronics Accessories > Memory > RAM,MT8HTF6464HY-667B3 Micron Technology Laptop Memory
MT8HTF6464HY-667F,,No,MT8HTF6464HY-667F Micron 512MB DDR2-667MHz PC2-5300 non-ECC Unbuffered CL5 200-Pin SoDIMM Single Rank Memory Module,MT8HTF6464HY-667F Micron 512MB DDR2-667MHz PC2-5300 non-ECC Unbuffered CL5 200-Pin SoDIMM Single Rank Memory Module,micron-technology-mt8htf6464hy-667f-laptop-memory,60.73,,Micron Technology,Refurbished,,,Memory/Laptop Memory/Laptop Memory,100,0.1,lbs,0,0,0,Electronics > Electronics Accessories > Memory > RAM,MT8HTF6464HY-667F Micron Technology Laptop Memory
MT8HTF6464HY-667F1,,No,MT8HTF6464HY-667F1 Micron 512MB DDR2-667MHz PC2-5300 non-ECC Unbuffered CL5 200-Pin SoDIMM Single Rank Memory Module,MT8HTF6464HY-667F1 Micron 512MB DDR2-667MHz PC2-5300 non-ECC Unbuffered CL5 200-Pin SoDIMM Single Rank Memory Module,micron-technology-mt8htf6464hy-667f1-laptop-memory,60.73,,Micron Technology,Refurbished,,,Memory/Laptop Memory/Laptop Memory,100,0.1,lbs,0,0,0,Electronics > Electronics Accessories > Memory > RAM,MT8HTF6464HY-667F1 Micron Technology Laptop Memory
448208-002,,No,448208-002 HP 2.20GHz 2MB L3 Cache Socket F AMD Opteron 8354 Quad-Core Processor for ProLiant DL785 G5 Server,448208-002 HP 2.20GHz 2MB L3 Cache Socket F AMD Opteron 8354 Quad-Core Processor for ProLiant DL785 G5 Server,hp-448208-002-amd-processors,91.25,,HP,Refurbished,,,Processors & CPUs/AMD/AMD Processors,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Computer Processors,448208-002 HP AMD Processors
500056-L21,,No,500056-L21 HP 2.30GHz 6MB L3 Cache Socket F AMD Opteron 2376 Quad-Core Processor for ProLiant DL165 G5 Server,500056-L21 HP 2.30GHz 6MB L3 Cache Socket F AMD Opteron 2376 Quad-Core Processor for ProLiant DL165 G5 Server,hp-500056-l21-amd-processors,91.25,,HP,Refurbished,,,Processors & CPUs/AMD/AMD Processors,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Computer Processors,500056-L21 HP AMD Processors
516259-L21,,No,516259-L21 HP 2.30GHz 6MB L3 Cache Socket Fr2 AMD Opteron 2376 HE Quad-Core Processor for ProLiant DL385 G5 Server,516259-L21 HP 2.30GHz 6MB L3 Cache Socket Fr2 AMD Opteron 2376 HE Quad-Core Processor for ProLiant DL385 G5 Server,hp-516259-l21-amd-processors,91.25,,HP,Refurbished,,,Processors & CPUs/AMD/AMD Processors,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Computer Processors,516259-L21 HP AMD Processors
0D004H,,No,0D004H Dell 2.30GHz 6MB L3 Cache Socket F AMD Opteron 2376 Quad Core Processor,0D004H Dell 2.30GHz 6MB L3 Cache Socket F AMD Opteron 2376 Quad Core Processor,dell-0d004h-amd-processors,91.25,,Dell,Refurbished,,,Processors & CPUs/AMD/AMD Processors,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Computer Processors,0D004H Dell AMD Processors
HUS726020ALN614,,No,HUS726020ALN614 Hitachi Ultrastar 7K6000 2TB 7200RPM SATA 6GB/s 128MB Cache 3.5-inch Hard Drive,HUS726020ALN614 Hitachi Ultrastar 7K6000 2TB 7200RPM SATA 6GB/s 128MB Cache 3.5-inch Hard Drive,hitachi-hus726020aln614-desktop-hard-drive,958.66,,Hitachi,Refurbished,,,Storage Devices/Hard Disk Drives/Desktop Hard Drive,98,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,HUS726020ALN614 Hitachi Desktop Hard Drive
0F23015,,No,0F23015 Hitachi Ultrastar 7K6000 4TB 7200RPM SATA 6GB/s 128MB Cache 3.5-inch Hard Drive,0F23015 Hitachi Ultrastar 7K6000 4TB 7200RPM SATA 6GB/s 128MB Cache 3.5-inch Hard Drive,hitachi-0f23015-desktop-hard-drive,953.62,,Hitachi,Refurbished,,,Storage Devices/Hard Disk Drives/Desktop Hard Drive,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,0F23015 Hitachi Desktop Hard Drive
WDBBDN0030HNC-EASN,,No,WDBBDN0030HNC-EASN Western Digital Expansion Kit 3TB 5400RPM SATA 6GB/s 64MB Cache 3.5-inch Hard Drive,WDBBDN0030HNC-EASN Western Digital Expansion Kit 3TB 5400RPM SATA 6GB/s 64MB Cache 3.5-inch Hard Drive,western-digital-wdbbdn0030hnc-easn-desktop-hard-drive,0,,Western Digital,Refurbished,,,Storage Devices/Hard Disk Drives/Desktop Hard Drive,0,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,WDBBDN0030HNC-EASN Western Digital Desktop Hard Drive
0YY93P,,No,0YY93P Dell 2TB 7200RPM SATA 6GB/s 3.5-inch Hard Drive,0YY93P Dell 2TB 7200RPM SATA 6GB/s 3.5-inch Hard Drive,dell-0yy93p-desktop-hard-drive,0,,Dell,Refurbished,,,Storage Devices/Hard Disk Drives/Desktop Hard Drive,0,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,0YY93P Dell Desktop Hard Drive
879396-001,,No,879396-001 HP 1.92TB SAS 6Gb/s Fips Encrypted 2.5-inch Solid State Drive for 3PAR StoreServ 7000 Series Storage System,879396-001 HP 1.92TB SAS 6Gb/s Fips Encrypted 2.5-inch Solid State Drive for 3PAR StoreServ 7000 Series Storage System,hp-879396-001-solid-state-drives,15189.19,,HP,Refurbished,,,Storage Devices/Solid State Drive/Solid State Drives,100,2,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,879396-001 HP Solid State Drives
0D8XTV,,No,0D8XTV Dell / Samsung SM1715 3.2TB PCI Express 3.0 x4 V-NAND HHHL Mixed-Use 2.5-inch Solid State Drive,0D8XTV Dell / Samsung SM1715 3.2TB PCI Express 3.0 x4 V-NAND HHHL Mixed-Use 2.5-inch Solid State Drive,dell-0d8xtv-solid-state-drives,0,,Dell,Refurbished,,,Storage Devices/Solid State Drive/Solid State Drives,100,2,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,0D8XTV Dell Solid State Drives
P02275-001,,No,P02275-001 HP 3.84TB (NVMe) 2.5-inch Read Intensive Solid State Drive,P02275-001 HP 3.84TB (NVMe) 2.5-inch Read Intensive Solid State Drive,hp-p02275-001-solid-state-drives,9461.35,,HP,Refurbished,,,Storage Devices/Solid State Drive/Solid State Drives,100,2,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,P02275-001 HP Solid State Drives
Y9W07,,No,Y9W07 Dell 3.2TB SAS 12Gb/s Hot-Swappable 2.5-inch Solid State Drive,Y9W07 Dell 3.2TB SAS 12Gb/s Hot-Swappable 2.5-inch Solid State Drive,dell-y9w07-solid-state-drives,9357.4,,Dell,Refurbished,,,Storage Devices/Solid State Drive/Solid State Drives,100,2,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Storage Devices > Hard Drives,Y9W07 Dell Solid State Drives
875946-L21,,No,875946-L21 HP 2.00GHz 10.40GT/s UPI 27.5MB L3 Cache Intel Xeon Gold 6138 20 Core Processor for Bl460C Gen10,875946-L21 HP 2.00GHz 10.40GT/s UPI 27.5MB L3 Cache Intel Xeon Gold 6138 20 Core Processor for Bl460C Gen10,hp-875946-l21-intel-processors,3282.86,,HP,Refurbished,,,Processors & CPUs/Intel/Intel Processors,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Computer Processors,875946-L21 HP Intel Processors
873376-B21,,No,873376-B21 HP 2.0GHz 27.5MB L3 Cache Socket FCLGA3647 Intel Xeon Gold 6138 20-Core Processor,873376-B21 HP 2.0GHz 27.5MB L3 Cache Socket FCLGA3647 Intel Xeon Gold 6138 20-Core Processor,hp-873376-b21-intel-processors,3272.25,,HP,Refurbished,,,Processors & CPUs/Intel/Intel Processors,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Computer Processors,873376-B21 HP Intel Processors
493577-B21,,No,493577-B21 HP 2.13GHz 1066MHz FSB 12MB L3 Cache Socket PGA604 Intel Xeon L7445 Quad-Core Processor Upgrade,493577-B21 HP 2.13GHz 1066MHz FSB 12MB L3 Cache Socket PGA604 Intel Xeon L7445 Quad-Core Processor Upgrade,hp-493577-b21-intel-processors,3104.59,,HP,Refurbished,,,Processors & CPUs/Intel/Intel Processors,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Computer Processors,493577-B21 HP Intel Processors
827185-B21,,No,827185-B21 HP 2.30GHz 45MB Cache 4.80GT/s QPI FCLGA2011-3 Intel Xeon E5-2697 v4 18 Core Processor,827185-B21 HP 2.30GHz 45MB Cache 4.80GT/s QPI FCLGA2011-3 Intel Xeon E5-2697 v4 18 Core Processor,hp-827185-b21-intel-processors,2784.14,,HP,Refurbished,,,Processors & CPUs/Intel/Intel Processors,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Computer Processors,827185-B21 HP Intel Processors
878090-001,,No,878090-001 HP 2.10GHz 38.5MB L3 Cache Socket FCLGA3647 Intel Xeon Platinum 8176F 28 Core Processor,878090-001 HP 2.10GHz 38.5MB L3 Cache Socket FCLGA3647 Intel Xeon Platinum 8176F 28 Core Processor,hp-878090-001-intel-processors,19879.47,,HP,Refurbished,,,Processors & CPUs/Intel/Intel Processors,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Computer Processors,878090-001 HP Intel Processors
874727-001,,No,874727-001 HP 2.10GHz 38.5MB L3 Cache Socket FCLGA3647 Intel Xeon Platinum 8176 28 Core 64-bit Processor,874727-001 HP 2.10GHz 38.5MB L3 Cache Socket FCLGA3647 Intel Xeon Platinum 8176 28 Core 64-bit Processor,hp-874727-001-intel-processors,19507.07,,HP,Refurbished,,,Processors & CPUs/Intel/Intel Processors,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Computer Processors,874727-001 HP Intel Processors
858204-001,,No,858204-001 HP 2.40GHz 9.6GT/s QPI 60MB Cache Socket FCLGA2011 Intel Xeon E7-8894 v4 24 Core Processor,858204-001 HP 2.40GHz 9.6GT/s QPI 60MB Cache Socket FCLGA2011 Intel Xeon E7-8894 v4 24 Core Processor,hp-858204-001-intel-processors,18314.77,,HP,Refurbished,,,Processors & CPUs/Intel/Intel Processors,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Computer Processors,858204-001 HP Intel Processors
878086-001,,No,878086-001 HP 2.10GHz 33MB L3 Cache Socket FCLGA3647 Intel Xeon Platinum 8160M 24 Core Processor,878086-001 HP 2.10GHz 33MB L3 Cache Socket FCLGA3647 Intel Xeon Platinum 8160M 24 Core Processor,hp-878086-001-intel-processors,15610.97,,HP,Refurbished,,,Processors & CPUs/Intel/Intel Processors,100,3,lbs,0,0,0,Electronics > Electronics Accessories > Computer Components > Computer Processors,878086-001 HP Intel Processors
